date,id,nb_mots,phrase,type
2026-01-19,16,23,المدفونة: طبق تقليدي حلو ومالح يُحضَّر من المسمن أو الشعرية مع طبقة دجاج مخفية وأخرى ظاهرة.,plat
2026-01-19,17,30,الرفيسة العمية: طبق شتوي تقليدي يُحضَّر من الخبز الجاف مع البصل والعدس والتوابل، وقد يُضاف إليه اللحم المجفف.,plat
2026-01-19,18,28,القديد والكرداس: من تقاليد عيد الأضحى، يتكون من اللحم المجفف المملح ويُقدَّم مع القطاني أو الكسكس.,plat
2026-01-19,19,15,حريرة: شوربة مغربية شهيرة تُقدَّم ساخنة، خاصة في شهر رمضان.,plat
2026-01-19,20,13,بصارة: حساء من الفول المجفف يُقدَّم مع زيت الزيتون والخبز والهريسة.,plat
2026-01-19,21,24,شوربة عدس: حساء مغذٍّ من العدس، ويصبح طبقًا رئيسيًا عند تقديمه مع الكرداس أو القديد.,plat
2026-01-19,22,31,بركوكش: طبق أمازيغي تقليدي يُحضَّر بحبيبات عجين خشنة، ويُقدَّم بالحليب أو مع الخضار واللحم.,plat
2026-01-19,23,9,غلالة: حلزون مطهو في مرق غني بالأعشاب والتوابل.,plat
2026-01-19,24,34,لوبيا بيضاء: حساء من الفاصوليا البيضاء يُؤكل بالخبز، ويُقدَّم أحيانًا مع الكرداس أو القديد.,plat
2026-01-19,25,30,سلطة مغربية: سلطة بسيطة من الطماطم والبصل مع التوابل وزيت الزيتون، وقد يُضاف إليها الليمون والزيتون.,plat
2026-01-19,26,20,البقولة: سلطة تقليدية تُحضَّر من الخبيزة أو السلق مع الطماطم والثوم والزيتون.,plat
2026-01-19,27,12,تكتوكة: سلطة من الطماطم والفلفل الأخضر المشوي.,plat
2026-01-19,28,18,سلطة الباربا: سلطة من الشمندر المسلوق مع الزيت والخل والثوم والأعشاب.,plat
2026-01-19,29,17,زعلوك: طبق من الباذنجان المشوي أو المقلي مع الطماطم والفلفل والثوم والتوابل.,plat
2026-01-19,30,10,سلطة البرتقال: سلطة حلوة من البرتقال مزينة بالقرفة والمكسرات.,plat
2026-01-19,31,35,بريوات: فطائر محشوة حلوة أو مالحة تُحضَّر بورق البسطيلة وتُقدَّم خاصة في رمضان.,plat
2026-01-19,32,23,سيجار مغربي: فطيرة محشوة باللحم والخضار، تُلف بورق البسطيلة على شكل سيجار.,plat
2026-01-19,33,20,الجبن التقليدي: جبن مغربي يُحضَّر عادة من حليب الغنم أو الماعز، ويُقدَّم في رمضان.,plat
2026-01-19,34,60,شرمولة: خليط من التوابل والأعشاب يُستخدم لتتبيل السمك واللحوم والخضار.,plat
2026-01-19,35,4,الليمون المخلل: ليمون محفوظ بالملح يُستعمل في العديد من الأطباق المغربية.,plat
2026-01-19,36,27,الزيتون المخلل: زيتون متبل بزيت الزيتون والتوابل المغربية.,plat
2026-01-19,37,20,أملو: وصفة أمازيغية من زيت الأركان واللوز المطحون والعسل، تُؤكل مع الخبز.,plat
2026-01-19,38,26,زيت الأركان: زيت طبيعي يُستخرج من شجرة الأركان المغربية ويُستهلك غذائيًا.,plat
2026-01-19,39,8,خبز مغربي: خبز تقليدي يُقدَّم مع مختلف الأطباق.,plat
2026-01-19,40,19,تفرنوت: خبز مسطح من منطقة سوس يُطهى في فرن طيني تقليدي.,plat
2026-01-19,41,15,بطبوط: خبز دائري يُؤكل مع الشاي أو يُقدَّم مع الزبدة والعسل.,plat
2026-01-19,42,10,حرشة: فطيرة من السميد تُطهى في الفرن أو على المقلاة.,plat
2026-01-19,43,29,المسمن أو الرغايف: فطيرة مغربية شهيرة تُحضَّر من الدقيق والزبدة وتُطهى على المقلاة.,plat
2026-01-19,44,15,بغرير: فطيرة من السميد تشبه الكريب وتتميز بثقوب على سطحها.,plat
2026-01-19,45,23,الرزيزة: خبز تقليدي يُحضَّر بنفس عجين المسمن لكن يُشكَّل على هيئة خيوط ملفوفة.,plat
2026-01-19,46,9,بريوات باللوز: معجنات محشوة بعجينة اللوز.,plat
2026-01-19,47,11,فقاص: حلوى تقليدية مقرمشة تُحضَّر من السميد.,plat
2026-01-19,48,14,غريبة: بسكويت تقليدي يُحضَّر بالسمسم أو اليانسون أو اللوز.,plat
2026-01-19,49,13,كعب غزال: حلوى محشوة باللوز والسكر على شكل هلال.,plat
2026-01-19,50,17,معمول: معجنات صغيرة محشوة بالتمر أو المكسرات.,plat
2026-01-19,51,13,بسطيلة الحليب: حلوى من أوراق البسطيلة المقلية والمزينة بالحليب واللوز.,plat
2026-01-19,52,14,شباكية مغربية: حلوى مقلية بالعسل تشتهر في رمضان.,plat
2026-01-19,53,13,سلو: خليط من الطحين المحمص واللوز يُستهلك بكثرة في رمضان.,plat
2026-01-19,54,10,السفنج: أكلة شعبية تُؤكل مع كوب شاي أو حليب.,plat
2026-01-19,55,12,بيني: أكلة شعبية حلوة المذاق محشوة بالسكر أو العسل.,plat
2026-01-19,56,14,تشورو: أكلة شعبية حلوة مرشوشة بالسكر.,plat
2026-01-19,57,30,محنشة: حلوى أو فطيرة تُحضَّر بورق البسطيلة وتُلف على شكل حلزوني.,plat
2026-01-19,58,8,أتاي بالنعناع: شاي أخضر مغربي بالنعناع والسكر.,plat
2026-01-19,59,6,عصير ليمون: عصير طبيعي منعش من الليمون.,plat
2026-01-19,60,7,عصير رمان: عصير طبيعي محضَّر من الرمان.,plat
2026-01-19,61,12,قهوة مغربية: قهوة تُحضَّر بالحليب وتُعرف باسم نص-نص.,plat
2026-01-19,62,4,شمندر أحمر: عصير طبيعي محضَّر من الشمندر.,plat
2026-01-19,63,5,عصير العنب: عصير طبيعي محضَّر من العنب الأبيض.,plat
2026-01-20,64,11,سوريا.. الهدنة تدخل حيز التنفيذ وبراك: مهمة قسد على الأرض انتهت,h3
2026-01-20,65,13,ترامب: أحمد الشرع قوي ويعمل بجد وعملت على منع الاقتتال بين مصر وإثيوبيا,h3
2026-01-20,66,10,حاملة طائرات أميركية تعبر مضيق ملقا متجهة إلى بحر العرب,h3
2026-01-20,67,12,من حلب إلى الحسكة.. كيف وصلت دمشق وقسد إلى اتفاق وقف النار؟,h3
2026-01-20,68,8,استبعاد نتنياهو وغالانت من مؤتمر دافوس وهرتسوغ ينتقد,h3
2026-01-20,69,10,مجلس السلام الخاص بغزة.. دول العالم بين مرحب ومعارض ومتحفظ,h3
2026-01-20,70,7,هل ينجح اتفاق دمشق وقسد هذه المرة؟,h3
2026-01-20,71,11,رئيس وزراء قطر: التوتر المتنامي يوجب التفكير في هندسة أمن منطقتنا,h3
2026-01-20,72,8,"حاكم ولاية كاليفورنيا يدعو قادة أوروبا لـ""صفع"" ترامب",h3
2026-01-20,73,12,حماس تفصل خروقات 100 يوم من اتفاق غزة وتحدد 9 مطالب للوسطاء,h3
2026-01-20,74,8,شائع الزنداني.. دبلوماسي مخضرم على رأس الحكومة اليمنية,h3
2026-01-20,75,8,الجاسوس الأزرق الذي يخدمك ويخدعك في الوقت ذاته,h3
2026-01-20,76,9,هل أفشل “اتفاق ميركوسور” دور باريس القيادي في أوروبا؟,h3
2026-01-20,77,6,تفاصيل نزاع العمل بين الأونروا وموظفيها,h3
2026-01-20,78,8,ماذا وراء زيارة مدير مخابرات السودان إلى واشنطن؟,h3
2026-01-20,79,9,مجموعة فرنسية للشحن البحري تقلص رحلاتها عبر قناة السويس,h3
2026-01-20,80,10,هل تكون أفريقيا بوابة الصين لتدويل اليوان وإنهاء هيمنة الدولار؟,h3
2026-01-20,81,7,كم تستثمر الدول العربية في تعليم أبنائها؟,h3
2026-01-20,82,11,مباشر مباراة ريال مدريد ضد موناكو (6-1) في دوري أبطال أوروبا,h3
2026-01-20,83,13,كاتب أميركي: ترامب أمام معضلة في إيران بعد تدميره أسس القوة الناعمة الأميركية,h3
2026-01-20,84,10,صحيفة بريطانية: الناتو يقيد تبادل المعلومات الاستخبارية مع الولايات المتحدة,h3
2026-01-20,85,7,لوتان: تصاعد الأصوات الأفريقية ضد التجاوزات الروسية,h3
2026-01-20,86,10,باحث أميركي: ترامب مهووس بالنفط وبطاريات الصين ستدير العالم قريبا,h3
2026-01-20,87,14,حرب الرسوم من أجل غرينلاند.. أخطر مواجهة تجارية عبر الأطلسي منذ الحرب العالمية الثانية,h3
2026-01-20,88,9,"المغرب يجهز ""سلاحا قانونيا مدمرا"".. المادة 82 تهدد السنغال",h3
2026-01-20,89,9,لماذا يريد ترامب غرينلاند؟ القطب الشمالي وصراع القوى الكبرى,h3
2026-01-20,90,8,انفصال المناهج عن الواقع: فجوة بين المدرسة والحياة,h3
2026-01-20,91,7,8 صفات لتكون عظيما.. القوة الدافعة (4),h3
2026-01-20,92,9,ماذا لو تبنى العرب مشروع جامعة عربية للعلوم والتكنولوجيا؟,h3
2026-01-20,93,6,"""قلب الظلام"".. رائعة جوزيف كونراد (5)",h3
2026-01-20,94,10,دمشق تعلن عن هدنة مع قسد عقب التوصل لتفاهم مشترك,h3
2026-01-20,95,9,تسريبات.. عقوبات قاسية تنتظر السنغال بعد الانسحاب أمام المغرب,h3
2026-01-20,96,11,ضربة موجعة لثورة “فينغر”.. رفض قانون التسلل الجديد في كرة القدم,h3
2026-01-20,97,9,مانشستر سيتي يتلقى خسارة قاسية في دوري أبطال أوروبا,h3
2026-01-20,98,10,"استقبال الأبطال للسنغال.. موكب أسطوري لـ""أسود التيرانغا"" مع كأس أفريقيا",h3
2026-01-20,99,10,بالفيديو.. يوم أمر ميسي زملاءه في الأرجنتين بالانسحاب أمام البرازيل,h3
2026-01-20,100,11,"هدم الأونروا بالقدس.. هكذا يغتال الاحتلال ""الشاهد الحي"" على مأساة اللجوء",h3
2026-01-20,101,12,سوريا مباشر.. الهدنة تدخل حيز التنفيذ وبراك: مهمة قسد على الأرض انتهت,h3
2026-01-20,102,10,بعد نشره رسالة ماكرون.. مغردون لزعماء العالم: لا تراسلوا ترامب,h3
2026-01-20,103,9,نيوزويك: احتمالات عزل ترامب تصل ذروتها وفق تنبؤات أميركية,h3
2026-01-20,104,10,"زلزال سياسي يهدد مونديال 2026.. ألمانيا تلوح بالمقاطعة و""إلغاء البطولة""",h3
2026-01-20,105,4,تحالف ثلاثي لمواجهة إسرائيل,h3
2026-01-20,106,8,بعد نشر ترامب رسائله.. ماكرون: لا نستسلم للمتنمرين,h3
2026-01-20,107,10,المحكمة الدستورية بأفريقيا الوسطى تؤكد فوز الرئيس تواديرا بولاية ثالثة,h3
2026-01-20,108,7,الجوع يضرب أفغانستان بسبب الشتاء وانقطاع المساعدات,h3
2026-01-20,109,9,واشنطن: الصين تضع السيف على رؤوسنا بسبب صناعة الرقائق,h3
2026-01-20,110,10,وول ستريت جورنال: أوروبا تواجه أكبر تهديد من أقرب حلفائها,h3
2026-01-20,111,10,ترامب يواصل ضغطه على أوروبا ويصف غرينلاند بأنها أرض أميركية,h3
2026-01-20,112,11,"فيلم ""ذيل الكلب"".. الكوميديا التي تحولت إلى سيرك سياسي على الأرض",h3
2026-01-20,113,10,ترامب: قمنا بعمل رائع مع الحكومة بسوريا وأحبطنا هروب سجناء,h3
2026-01-20,114,6,الزهرة يعود للظهور مساء.. فكيف نشاهده؟,h3
2026-01-20,115,6,10 أفلام ستغير طريقة مشاهدتك للسينما,h3
2026-01-20,116,9,إيران على حافة المواجهة.. ضغط أميركي أم حرب إقليمية؟,h3
2026-01-20,117,10,"""الجنائية الدولية"" تتهم الدعم السريع بارتكاب جرائم حرب في الفاشر",h3
2026-01-20,118,10,"""المتحري"" يكشف تفاصيل عن اختفاء الصحفي أوستن تايس في سوريا",h3
2026-01-20,119,8,صحف عالمية: ترامب يسعى لإعادة تشكيل النظام العالمي,h3
2026-01-20,120,10,بعد عام في الحكم.. كيف غير ترامب خريطة تحالفات أميركا؟,h3
2026-01-20,121,9,لماذا خمدت احتجاجات إيران سريعا؟ قراءة في الاقتصاد والأمن,h3
2026-01-20,122,10,هل يطوي الاتفاق الجديد صفحة الإدارة الذاتية الكردية في سوريا؟,h3
2026-01-20,123,11,"""سأحمل السلاح من جديد"".. رئيس كولومبيا يستعد لحرب ""محتملة"" مع واشنطن",h3
2026-01-20,124,9,شهادات صحفيين محررين عن التعذيب والإهمال في سجون الاحتلال,h3
2026-01-20,125,11,كم أسيرا تحتجز إسرائيل في سجونها؟ أرقام صادمة حتى مطلع 2026,h3
2026-01-20,126,11,والدة أسيرة مقدسية: ابنتي تغيرت خلف القضبان والأمل بالحرية لا ينكسر,h3
2026-01-20,127,7,استشهاد أسير من غزة في سجون الاحتلال,h3
2026-01-20,128,7,تقودها عائلاتهم.. حملة دولية لإنقاذ الأسرى الفلسطينيين,h3
2026-01-20,129,11,الأمم المتحدة: التمييز العنصري الإسرائيلي تفاقم بشكل كبير في الضفة الغربية,h3
2026-01-20,130,9,السجن المؤبد لصحفيين في قضية احتجاجات مؤيدة لعمران خان,h3
2026-01-20,131,11,اعتقال ناشطة حقوقية يثير مخاوف حول احترام الإجراءات القانونية في أوغندا,h3
2026-01-20,132,12,منظمات حقوقية: اعتقال 7 آلاف واستشهاد 32 أسيرا بسجون إسرائيل في 2025,h3
2026-01-20,133,10,وفاة 25 بغزة جراء المنخفضات بينهم 6 أطفال قضوا بردا,h3
2026-01-20,134,9,الهجرة الدولية: 1290 نازحا جديدا من ولايتين جنوبي السودان,h3
2026-01-20,135,9,السنغال تسمح بتصوير المحجبات لبطاقة الهوية دون كشف الرأس,h3
2026-01-20,136,11,خفر السواحل اليوناني ينقذ 840 مهاجرا خلال 5 أيام قبالة كريت,h3
2026-01-20,137,7,"اتهام إسرائيل بممارسة ""تنكيل جماعي"" بأسرى فلسطينيين",h3
2026-01-20,138,8,كيف تساعد المؤسسات الحقوقية فلسطينيي القدس على الصمود؟,h3
2026-01-20,139,12,جامعة جورج تاون تقطع علاقتها مع ألبانيزي وتزيل اسمها من قائمة الباحثين,h3
2026-01-20,140,11,شاهد.. انتشال جثمان طفل غرق في بئر بعد محاولات لإنقاذه بغزة,h3
2026-01-20,141,11,عام على اعتقال أبو صفية.. طبيب الأطفال الذي مشى نحو الدبابة,h3
2026-01-20,142,8,قباطية تحت المقصلة: هل شرعنت إسرائيل “العقاب الجماعي”؟,h3
2026-01-20,143,10,عائلات فلسطينية في دائرة المعاناة بعد قطع مخصصات الأسرى والشهداء,h3
2026-01-20,144,10,المتربعون على عرش كأس الأمم الأفريقية لكرة القدم عبر التاريخ,h3
2026-01-20,145,10,عبد الرحمن سلامة من أمين للرئاسة السورية إلى محافظ للرقة,h3
2026-01-20,146,8,مخيم الهول.. ملجأ يضم عائلات مقاتلي تنظيم الدولة,h3
2026-01-20,147,10,عشائر بدو سوريا.. جذور عميقة في التاريخ وامتداد في الجغرافيا,h3
2026-01-20,148,8,الكرد.. رابع أكبر مجموعة عرقية في الشرق الأوسط,h3
2026-01-20,149,9,نيكولاي ملادينوف.. ممثل قطاع غزة في مجلس سلام ترامب,h3
2026-01-20,150,10,مجلس السلام.. آلية دولية برعاية ترامب لإدارة شؤون قطاع غزة,h3
2026-01-20,151,9,ليلى كانينغهام.. بريطانية من أصول مصرية تسعى لقيادة لندن,h3
2026-01-20,152,7,اليمن.. دولة عريقة تعاني من الانقسامات والحروب,h3
2026-01-20,153,10,مجلس القيادة الرئاسي اليمني.. آلية حكم جماعية محل الرئاسة الفردية,h3
2026-01-20,154,8,المجلس الانتقالي الجنوبي.. تكتل يطالب بانفصال جنوب اليمن,h3
2026-01-20,155,7,رشاد العليمي رئيس مجلس القيادة الرئاسي اليمني,h3
2026-01-20,156,7,عيدروس الزبيدي.. رئيس المجلس الانتقالي الجنوبي اليمني,h3
2026-01-20,157,5,محافظة المهرة.. بوابة اليمن الشرقية,h3
2026-01-20,158,9,نص المرسوم الرئاسي الخاص بحقوق المواطنين الكرد في سوريا,h3
2026-01-20,159,9,العلاقات الأميركية الكوبية.. عقود من القطيعة الدبلوماسية والانفتاح الحذر,h3
2026-01-20,160,10,إسقاط مركاتور.. الخريطة التي شكلت وعينا بالعالم وشوهت حجمه الحقيقي,h3
2026-01-20,161,10,رضا بهلوي ولي عهد إيران المنفي الداعي إلى تغيير نظامها,h3
2026-01-20,162,10,"الثورة الكوبية.. من ""حركة 26 يوليو"" إلى قيام الدولة الاشتراكية",h3
2026-01-20,163,9,علي شعث.. مهندس أسندت إليه إدارة غزة بعد الدمار,h3
2026-01-20,164,10,مته فريدريكسن.. رئيسة وزراء الدانمارك المتصدية لمطامع ترامب في غرينلاند,h3
2026-01-20,165,7,اتفاقيات ومنظمات انسحبت منها الولايات المتحدة الأميركية,h3
2026-01-20,166,10,قيادات كردية بارزة في الإدارة الذاتية.. الخلفيات والأدوار السياسية والعسكرية,h3
2026-01-20,167,13,من الثورة الإسلامية إلى حجاب مهسا أميني.. أبرز الاحتجاجات في تاريخ إيران الحديث,h3
2026-01-20,168,8,رئيسة المفوضية الأوروبية تعد باستثمارات كبيرة في غرينلاند,h3
2026-01-20,169,10,السيطرة على النفط والغاز تعيد الدولة السورية إلى المشهد الاقتصادي,h3
2026-01-20,170,6,عودة بنك السودان المركزي للعمل بالخرطوم,h3
2026-01-20,171,7,أزمة غرينلاند تختبر ثقة الأسواق بالدولار الأميركي,h3
2026-01-20,172,8,ترامب يهدد بفرض رسوم 200% على منتجات فرنسية,h3
2026-01-20,173,8,الذهب عند مستوى قياسي جديد فوق 4735 دولارا,h3
2026-01-20,174,9,غرينلاند على طاولة الرسوم.. هل يبتز ترامب أوروبا اقتصاديا؟,h3
2026-01-20,175,9,كيف تحافظ الشركات على السيولة عندما تكون الإيرادات صغيرة؟,h3
2026-01-20,176,9,بلومبيرغ: رسوم ترامب ضريبة مقنعة يدفعها الأميركيون لا الخارج,h3
2026-01-20,177,9,بوليتيكو: سلاح سري وخيارات أخرى لدى أوروبا للتصدي لترامب,h3
2026-01-20,178,9,صندوق النقد يرفع توقعات نمو الاقتصاد العالمي في 2026,h3
2026-01-20,179,7,تراجع سعر صرف الليرة السورية مقابل الدولار,h3
2026-01-20,180,8,هل تستطيع أوروبا معاقبة ترامب تجاريا بشأن غرينلاند؟,h3
2026-01-20,181,9,مسؤول سوري: اهتمام أميركي بالاستثمار في حقول النفط والغاز,h3
2026-01-20,182,6,إيران تحصي خسائرها إثر الاحتجاجات الأخيرة,h3
2026-01-20,183,6,الحرب الخاطفة في العقل العسكري الإسرائيلي,h3
2026-01-20,184,9,الاحتجاجات الإيرانية بين محرك الاقتصاد والمجتمع وحسابات التدخل الأميركي,h3
2026-01-20,185,5,لماذا تهتم إسرائيل بأرض الصومال؟,h3
2026-01-20,186,8,المبعوث الأميركي إلى سوريا يدلي بتصريحات حول حلب,h3
2026-01-20,187,6,المؤثرون الرقميون.. من هم؟ وكيف يؤثرون؟,h3
2026-01-20,188,9,مأزق ثنائي.. تآكل سياسي واقتصادي للقيادة العسكرية في مالي,h3
2026-01-20,189,6,الدولة الفاشلة.. تعدد المفهوم وارتباك التصنيف,h3
2026-01-20,190,9,بيانات إسرائيلية تكشف تراجعا غير مسبوق في النمو السكاني,h3
2026-01-20,191,9,رئيس حزب الأمة يحذر من خطورة الأوضاع في كردفان,h3
2026-01-20,192,8,ديوان السودان.. ذكرى إعلان الاستقلال من داخل البرلمان,h3
2026-01-20,193,9,جنود كولومبيون يقاتلون بجانب قوات الدعم السريع في السودان,h3
2026-01-20,194,8,أبرز ما نشرته مواقع الدراسات والأبحاث في أسبوع,h3
2026-01-20,195,6,سلام مترنح.. تعقيدات خطة غزة ومخاطرها,h3
2026-01-20,196,11,ما فرص نجاح مبادرة الرباعية حول السودان في ظل التصعيد الميداني؟,h3
2026-01-20,197,10,هل تقود سيطرة الدعم السريع على الفاشر إلى تقسيم السودان؟,h3
2026-01-20,198,8,اقتصاد الحمير.. لماذا تسيطر الصين على حمير أفريقيا؟,h3
2026-01-20,199,8,أبرز ما نشرته مراكز الدراسات والأبحاث في أسبوع,h3
2026-01-20,200,8,اشتباكات بين قسد والقوات الحكومية في مدينة حلب,h3
2026-01-20,201,5,الخوتسبا الصهيونية.. الوقاحة كسلاح ردع!,h3
2026-01-20,202,11,قرى محصنة.. كيف تشكلت العقيدة الأمنية لإسرائيل وماذا بقي منها اليوم؟,h3
2026-01-20,203,8,الشاهبندر البراك.. المبعوث الذي يتاجر بسوريا لا معها,h3
2026-01-20,204,9,ماذا تعرف عن القاتل الأعمى الإسرائيلي الموجه لإبادة غزة؟,h3
2026-01-20,205,8,تاريخ مختصر للانحطاط البشري.. حين يصبح المستوطن مؤرخا,h3
2026-01-20,206,7,دليلك إلى صناعة الذهب من رمال الصحراء,h3
2026-01-20,207,10,"حرب على ""آلة التفكير"" بين الصين وأميركا.. من يبتلع من؟",h3
2026-01-20,208,10,ماذا تعرف عن خريطة المسيحية الأميركية التي تؤمن بعودة الأنبياء؟,h3
2026-01-20,209,11,اليوم حرب وغدا خوف.. ما الذي يعنيه أن تقصف تل أبيب؟,h3
2026-01-20,210,8,"الصاروخ الذي سقط على رأسي وقالوا: ""منطقة مفتوحة""!",h3
2026-01-20,211,9,عقيدة بيغن.. عندما تحبط إسرائيل أي حلم نووي بالمنطقة,h3
2026-01-20,212,11,الرقابة العسكرية.. قصة الجهاز الذي يمنعنا من معاينة الأضرار في إسرائيل,h3
2026-01-20,213,11,علماء للجزيرة نت: ابتكرنا مادة تستبدل البلاستك في مستلزمات العناية الشخصية,h3
2026-01-20,214,16,"ناسا تقترب من إطلاق ""أرتميس 2"".. أول رحلة مأهولة حول القمر منذ أكثر من نصف قرن",h3
2026-01-20,215,12,كائنات فضائية أم مذنب؟ جدل عالمي بعد رد غامض من الاستخبارات الأميركية,h3
2026-01-20,216,10,كيف تحفظ الدببة عظامها أثناء السبات الشتوي؟ علماء مصريون يجيبون,h3
2026-01-20,217,11,"كيف أمسك العلماء بـ""يد الجزيء"" الصحيحة بعد 80 عاما من الحيرة؟",h3
2026-01-20,218,9,"علماء صينيون للجزيرة نت: تجاوزنا بالاندماج النووي ""حد غرينوالد""",h3
2026-01-20,219,9,مرة أخرى.. عظام الحيتان تخدع علماء الحفريات في ألاسكا,h3
2026-01-20,220,8,"أول رصد محتمل لانفجار نجمي مزدوج يعرف بـ""السوبركيلونوفا""",h3
2026-01-20,221,10,"تلسكوب ""آر تي- 64"" في كاليازين.. عملاق الراديو الفلكي الروسي",h3
2026-01-20,222,11,حمض دا فينشي النووي في لوحاته: اختراق علمي أم إثارة إعلامية؟,h3
2026-01-20,223,8,شاهد.. علماء يكتشفون حبارا غامضا يتظاهر بأنه نبات,h3
2026-01-20,224,8,علماء للجزيرة نت: استطعنا مراقبة النباتات بينما تتنفس,h3
2026-01-20,225,9,"""خدعة رياضية"" صغيرة تجعل فهم الزلازل أسهل 1000 مرة",h3
2026-01-20,226,11,"الخيول تتمكن من شم ""رائحة الخوف"" لدى البشر.. فكيف تفعل ذلك؟",h3
2026-01-20,227,11,"من ""غاز شرير"" لوقود كيميائي: هل تحل مشكلة ثاني أكسيد الكربون؟",h3
2026-01-20,228,6,هلال شعبان.. بوابة فلكية نحو رمضان,h3
2026-01-20,229,8,بصمات الأشعة الكونية تعيد كتابة تاريخ القارة الأسترالية,h3
2026-01-20,230,10,علماء للجزيرة نت: النمل يعلم البشر كيفية بناء الخوارزميات الدقيقة,h3
2026-01-20,231,10,"""إن سي باند"".. أول سوار ذكي بمعايير طبية لقياس الحرارة",h3
2026-01-20,232,10,مرضى السكتات الدماغية يستعيدون قدرتهم على الحديث بفضل هذا الابتكار,h3
2026-01-20,233,6,لماذا تتزايد الأمراض رغم تقدم الطب؟,h3
2026-01-20,234,9,اكتشاف علمي في بريطانيا يفتح بابا للوقاية من ألزهايمر,h3
2026-01-20,235,7,استئناف حملة التطعيم الاستدراكية للأطفال في غزة,h3
2026-01-20,236,7,معدلات النجاة من السرطان ترتفع في أميركا,h3
2026-01-20,237,8,14 اضطرابا نفسيا تشترك في جذور جينية واحدة,h3
2026-01-20,238,8,الصحة الأميركية تطلق دراسة عن إشعاعات الهواتف المحمولة,h3
2026-01-20,239,10,باراسيتامول آمن أثناء الحمل ولا يسبب التوحد أو فرط النشاط,h3
2026-01-20,240,9,أول جراحة لتحويل مسار الشريان التاجي دون فتح الصدر,h3
2026-01-20,241,10,هل يعالج الأطباء الأسباب الجذرية للأمراض أم يكتفون بعلاج الأعراض؟,h3
2026-01-20,242,12,"إدارة الغذاء والدواء الأميركية تطلب إزالة تحذير ""الأفكار الانتحارية"" من أدوية تخسيس",h3
2026-01-20,243,10,منظمة الصحة العالمية.. انخفاض أسعار المشروبات السكرية والخمور يفاقم الأمراض,h3
2026-01-20,244,11,النوم فترة أطول في نهاية الأسبوع يحافظ على الصحة النفسية للمراهقين,h3
2026-01-20,245,10,أكثر من 18500 مريض في غزة بحاجة إلى إجلاء طبي,h3
2026-01-20,246,12,يقلع ثم يعود.. لماذا يقع الرجل في “فخ” عاداته القديمة؟ وكيف ينجو؟,h3
2026-01-20,247,8,يوتيوب تسهل على الآباء مراقبة مقاطع الفيديو القصيرة,h3
2026-01-20,248,11,الإمبراطور الأخير.. وفاة مصمم الأزياء الإيطالي فالنتينو غارافاني عن 93 عاما,h3
2026-01-20,249,14,ليست عدوى ولا وهما.. لماذا تعاني بعض النساء من حكة الأذنين قبل انقطاع الطمث؟,h3
2026-01-20,250,11,تحذيرات صحية من مادة عطرية في الشامبو قد تحمل مخاطر مسرطنة,h3
2026-01-20,251,9,لماذا يلازم الرجال شاشات الأخبار والمباريات؟ قراءة نفسية واجتماعية,h3
